matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
145,abramova_2020_genpath,es145,ex024,con020,out068,16,18,-0.6251041546118175,0.0809404230877527
146,abramova_2020_genpath,es146,ex023,con019,out069,19,20,-0.6537384580192876,0.0934759702305316
147,abramova_2020_genpath,es147,ex024,con020,out069,16,18,-0.07088446341333206,0.04958122465195076
148,abramova_2020_genpath,es148,ex023,con019,out070,19,20,0.06026153981662503,0.03660766528145533
149,abramova_2020_genpath,es149,ex024,con020,out070,16,18,-0.1318417809897194,0.03575835200727864
150,abramova_2020_genpath,es150,ex023,con019,out071,19,20,0.867566211575596,0.08407455986233196
151,abramova_2020_genpath,es151,ex024,con020,out071,16,18,0.4000883020476929,0.08016636227225568
152,abramova_2020_genpath,es152,ex023,con019,out072,19,20,-0.7234753961286405,0.07605422834254932
153,abramova_2020_genpath,es153,ex024,con020,out072,16,18,-0.43471056978168054,0.08224797783132914
154,abramova_2020_genpath,es154,ex023,con019,out073,19,20,-0.4086125159222509,0.02080028080431339
155,abramova_2020_genpath,es155,ex024,con020,out073,16,18,-0.3667959135254143,0.02193081654136853
156,abramova_2020_genpath,es156,ex023,con019,out074,19,20,-1.2423592193123176,0.28175727647638227
157,abramova_2020_genpath,es157,ex024,con020,out074,16,18,-0.07862123009804622,0.5737931328509353
158,abramova_2020_genpath,es158,ex023,con019,out075,19,20,0.01259238617762777,0.04222109062825981
159,abramova_2020_genpath,es159,ex024,con020,out075,16,18,-0.207408848845352,0.03168909215709169
160,abramova_2020_genpath,es160,ex023,con019,out076,19,21,-0.28150635302863186,0.01088977017327341
161,abramova_2020_genpath,es161,ex024,con020,out076,16,18,0.1457326053221258,0.01384315921771604
162,abramova_2020_genpath,es162,ex023,con019,out077,19,8,-0.08188818630731723,0.0647024463464225
163,abramova_2020_genpath,es163,ex024,con020,out077,16,17,0.23834515623753977,0.03913847503824906
164,abramova_2023_biopsy,es164,ex025,con021,out078,10,9,0.8312854842387754,0.02462600754974462
165,abramova_2023_biopsy,es165,ex026,con022,out078,8,10,0.5255687844652972,0.03122013918471741
166,abramova_2023_biopsy,es166,ex025,con021,out079,10,9,1.0169393935924704,0.02568576665616553
167,abramova_2023_biopsy,es167,ex026,con022,out079,8,10,0.5050002034200726,0.02595062537109443
168,abramova_2023_biopsy,es168,ex025,con021,out080,10,9,1.2808768012574552,0.3808496477823155
169,abramova_2023_biopsy,es169,ex026,con022,out080,8,10,2.076922134785344,0.7677358951157122
170,abramova_2023_biopsy,es170,ex025,con021,out081,10,9,1.225757574183027,0.10140553386469324
171,abramova_2023_biopsy,es171,ex026,con022,out081,8,10,1.436768357502671,0.09812718358402256
172,abramova_2023_biopsy,es172,ex025,con021,out082,10,9,0.8721625351282654,0.10170885712045535
173,abramova_2023_biopsy,es173,ex026,con022,out082,8,10,-0.01200379946181984,0.08024347041595062
