study_id,es_id,n_raw,n_final,mean_raw,median_raw,q1_raw,q3_raw,mean_pre_zero_correction,mean_analysis_primary,mean_analysis_sensitivity_08,mean_source,exact_zero_before_correction,zero_correction_applied,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_correction_unavailable,zero_mean_exclusion_sensitivity,sd_raw,sd_final,sd_source,se_raw,se_final,se_source,ci_raw,iqr_all_zero,iqr_skewness_review,sd_assumed_sqrt_mean,se_inconsistent_with_sd,se_matches_mean_over_sqrt_n,arm
abramova_2021_front,es075,23,23,33.7391,,,,33.7391,33.7391,33.7391,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,16.896,16.896,raw_sd,3.5231,3.5231,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es076,25,25,8.92,,,,8.92,8.92,8.92,raw_mean,FALSE,FALSE,4.3889,3.95001,3.51112,FALSE,FALSE,6.9337,6.9337,raw_sd,1.3867,1.3867,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es077,23,23,10.1304,,,,10.1304,10.1304,10.1304,raw_mean,FALSE,FALSE,4.3889,3.95001,3.51112,FALSE,FALSE,8.7558,8.7558,raw_sd,1.8257,1.8257,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es078,25,25,1.16,,,,1.16,1.16,1.16,raw_mean,FALSE,FALSE,0.18718749999999998,0.16846874999999997,0.14975,FALSE,FALSE,1.4911,1.4911,raw_sd,0.2982,0.2982,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es079,23,23,2.2609,,,,2.2609,2.2609,2.2609,raw_mean,FALSE,FALSE,0.18718749999999998,0.16846874999999997,0.14975,FALSE,FALSE,2.5265,2.5265,raw_sd,0.5268,0.5268,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es080,25,25,2.0964,,,,2.0964,2.0964,2.0964,raw_mean,FALSE,FALSE,0.7739,0.6965100000000001,0.6191200000000001,FALSE,FALSE,3.3901,3.3901,raw_sd,0.678,0.678,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es081,23,23,5.177,,,,5.177,5.177,5.177,raw_mean,FALSE,FALSE,0.7739,0.6965100000000001,0.6191200000000001,FALSE,FALSE,6.8377,6.8377,raw_sd,1.4258,1.4258,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es082,25,25,3.76,,,,3.76,3.76,3.76,raw_mean,FALSE,FALSE,2.6522,2.3869800000000003,2.12176,FALSE,FALSE,1.6653,1.6653,raw_sd,0.3331,0.3331,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es083,23,23,2.6522,,,,2.6522,2.6522,2.6522,raw_mean,FALSE,FALSE,2.6522,2.3869800000000003,2.12176,FALSE,FALSE,1.465,1.465,raw_sd,0.3055,0.3055,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es084,25,25,34.048,,,,34.048,34.048,34.048,raw_mean,FALSE,FALSE,12.5038,11.25342,10.00304,FALSE,FALSE,25.0853,25.0853,raw_sd,5.0171,5.0171,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es085,23,23,16.3787,,,,16.3787,16.3787,16.3787,raw_mean,FALSE,FALSE,12.5038,11.25342,10.00304,FALSE,FALSE,13.1338,13.1338,raw_sd,2.7386,2.7386,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es086,25,25,36.678,,,,36.678,36.678,36.678,raw_mean,FALSE,FALSE,8.2563,7.43067,6.60504,FALSE,FALSE,36.638,36.638,raw_sd,7.3276,7.3276,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2021_front,es087,23,23,39.257,,,,39.257,39.257,39.257,raw_mean,FALSE,FALSE,8.2563,7.43067,6.60504,FALSE,FALSE,41.7274,41.7274,raw_sd,8.7008,8.7008,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
