es_id,study_id,arm,mean_reported,mean_pre_zero,mean_analysis,mean_derivation,sd_reported,se_reported,sd_analysis,sd_derivation,se_analysis,se_derivation,se_source,exact_zero,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_mean_exclusion_sensitivity,analysis_ready
es076,abramova_2021_front,control,10.130435,10.130435,10.130435,Reported mean; used unchanged,8.7558,,8.7558,Reported or previously approved SD; used unchanged,1.825711,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es077,abramova_2021_front,control,8.92,8.92,8.92,Reported mean; used unchanged,6.933734,,6.933734,Reported or previously approved SD; used unchanged,1.386747,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es078,abramova_2021_front,control,2.26087,2.26087,2.26087,Reported mean; used unchanged,2.526539,,2.526539,Reported or previously approved SD; used unchanged,0.52682,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es079,abramova_2021_front,control,1.16,1.16,1.16,Reported mean; used unchanged,1.491085,,1.491085,Reported or previously approved SD; used unchanged,0.298217,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es080,abramova_2021_front,control,5.176957,5.176957,5.176957,Reported mean; used unchanged,6.837676,,6.837676,Reported or previously approved SD; used unchanged,1.425754,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es081,abramova_2021_front,control,2.0964,2.0964,2.0964,Reported mean; used unchanged,3.390067,,3.390067,Reported or previously approved SD; used unchanged,0.678013,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es082,abramova_2021_front,control,2.652174,2.652174,2.652174,Reported mean; used unchanged,1.465007,,1.465007,Reported or previously approved SD; used unchanged,0.305475,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es083,abramova_2021_front,control,3.76,3.76,3.76,Reported mean; used unchanged,1.665333,,1.665333,Reported or previously approved SD; used unchanged,0.333067,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es084,abramova_2021_front,control,16.378696,16.378696,16.378696,Reported mean; used unchanged,13.13384,,13.13384,Reported or previously approved SD; used unchanged,2.738595,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es085,abramova_2021_front,control,34.048,34.048,34.048,Reported mean; used unchanged,25.085267,,25.085267,Reported or previously approved SD; used unchanged,5.017053,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es086,abramova_2021_front,control,39.256957,39.256957,39.256957,Reported mean; used unchanged,41.727392,,41.727392,Reported or previously approved SD; used unchanged,8.700763,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
