study_id,es_id,csv_row,data_source,data_file,control_group,experimental_group,c_status,c_meta_group,c_meta_file,c_mean_meta,c_sd_meta,c_n_meta,c_se_meta,ex_status,ex_meta_group,ex_meta_file,ex_mean_meta,ex_sd_meta,ex_n_meta,ex_se_meta,overall_status,meta_files,notes
abramova_2021_front,es077,78,Figure 2b,OF-pups-abramova2018,C_m_re,PS_m_re,mismatch,C_m_re,abramova_2021_front_f2b.png,7.94289897510981,4.62599426784109,30.0,0.84458713712872,mismatch,PS_m_re,abramova_2021_front_f2b.png,3.9311859443631,2.48409115825845,24.0,0.507062984357705,review,abramova_2021_front_f2b.png,"c differs in mean, sd, n, se; ex differs in mean, sd, n, se"
abramova_2021_front,es086,87,Figure 2c,OF-pups-abramova2027,C_f_frtt,PS_f_fr,unmatched,,,,,,,mismatch,PS_f_fr,abramova_2021_front_f2c.png,64.5966029723991,45.8680972087514,29.0,8.51749182271697,review,abramova_2021_front_f2c.png,"c group not uniquely matched; ex differs in mean, sd, n, se"
abramova_2021_front,es087,88,Figure 2c,OF-pups-abramova2028,C_m_ftt,PS_m_fr,unmatched,,,,,,,mismatch,PS_m_fr,abramova_2021_front_f2c.png,76.9108280254777,51.4425131289957,24.0,10.5006590210387,review,abramova_2021_front_f2c.png,"c group not uniquely matched; ex differs in mean, sd, n, se"
badache_2017_stress,es088,89,Figure 5a,badache_2017_stress_5a,Cn_cor,Ns_cor,match,Cn_cor,badache_2017_stress_5a.png,216.891891891892,47.0270270270271,16.0,11.7567567567568,match,Ns_cor,badache_2017_stress_5a.png,253.783783783784,51.8918918918921,16.0,12.972972972973,match,badache_2017_stress_5a.png,
badache_2017_stress,es089,90,Figure 5b,badache_2017_stress_5b,Cn_sq,Ns_sq,match,Cn_sq,badache_2017_stress_5b.png,70.4382470119522,16.1487383798141,16.0,4.03718459495352,match,Ns_sq,badache_2017_stress_5b.png,45.2589641434263,8.92430278884467,16.0,2.23107569721117,match,badache_2017_stress_5b.png,
badache_2017_stress,es090,91,Figure 5c,badache_2017_stress_5c,Cn_cen,Ns_cen,match,Cn_cen,badache_2017_stress_5c.png,4.13359788359788,0.925925925925927,16.0,0.231481481481482,match,Ns_cen,badache_2017_stress_5c.png,0.178571428571428,0.264550264550265,16.0,0.0661375661375662,match,badache_2017_stress_5c.png,
badache_2017_stress,es091,92,Figure 5d,badache_2017_stress_5d,Cn_re,Ns_re,match,Cn_re,badache_2017_stress_5d.png,22.0038659793814,5.02577319587627,16.0,1.25644329896907,match,Ns_re,badache_2017_stress_5d.png,8.53737113402062,1.93298969072165,16.0,0.483247422680412,match,badache_2017_stress_5d.png,
badache_2017_stress,es092,93,Figure 6a,badache_2017_stress_6a,Cn_oat,Ns_oat,match,Cn_oat,badache_2017_stress_6a.png,135.510204081633,31.8367346938776,16.0,7.9591836734694,match,Ns_oat,badache_2017_stress_6a.png,67.9591836734694,14.6938775510204,16.0,3.6734693877551,match,badache_2017_stress_6a.png,
badache_2017_stress,es093,94,Figure 6b,badache_2017_stress_6b,Cn_rt,Ns_rt,match,Cn_rt,badache_2017_stress_6b.png,18.1164383561644,4.52054794520548,16.0,1.13013698630137,match,Ns_rt,badache_2017_stress_6b.png,7.77397260273973,2.05479452054794,16.0,0.513698630136986,match,badache_2017_stress_6b.png,
whitlow_1978_thesis,es094,95,Figure 2,whitlow_1978_thesis_fig2,HNoN_1_sq,HN_1_sq,mismatch,HNoN_1,whitlow_1978_thesis_fig2.png,65.6274768824307,2.36308372787299,20.0,0.528401585204762,mismatch,HN_1,whitlow_1978_thesis_fig2.png,71.2285336856011,3.30831721902216,20.0,0.739762219286661,review,whitlow_1978_thesis_fig2.png,"c differs in sd, se; ex differs in sd, se"
